vel,angs,logCountM,distDif,clickD,clickTotalM,backSpaceM,leftSideM,rigthSideM,stressLevelM
1766.830085547081,24.63864838164068,166,1751.6980226002129,68322.0,4,0,0,0,3
1539.06962457573,24.74693339088216,167,516.9293653464797,57074.0,2,0,0,0,3
5591.077047624805,25.679994838600088,618,5167.465975705572,143919.0,5,0,1,0,3
5670.29317183281,20.987046256486607,1599,3586.3275042446667,40809.0,8,0,0,0,2
3889.2062263679336,18.485919684466914,1108,991.4497263955204,23051.0,5,0,0,0,3
3710.030191379124,19.394757654177354,1400,4441.279998181903,23232.0,6,0,0,0,2
2073.175861156957,19.373742836037923,775,1019.8093806794234,15295.0,5,0,0,0,2
2908.3840042779,26.149332953710005,387,2096.2348448859166,55870.0,4,0,0,0,3
1437.8918928084374,24.871012187503656,134,789.8141030397212,23137.0,2,0,0,0,3
2086.5746929385955,26.51486145479793,291,1827.8072750368533,56870.0,2,0,0,0,3
7538.145318679525,26.748807694432983,839,6826.224208949332,191718.0,5,0,0,0,3
10846.218330378915,22.35716294863311,1231,9536.109992049029,59399.0,4,0,0,0,3
6019.061032638726,21.936289205811796,1460,5673.117153988268,79583.0,3,0,0,0,3
9662.494129798682,19.20463089099501,2017,8865.517532794342,75648.0,2,0,0,0,3
7700.393650357735,20.536438645171305,1578,7415.151123540418,109207.0,5,0,1,0,3
540.1105652790988,32.77330266784729,237,93.4391535982457,26733.0,3,0,0,0,3
1639.9821350271525,29.78155904853387,352,1126.594578870335,71202.0,4,0,0,0,3
1118.4192120048142,29.034170549317576,182,369.9415077723992,29360.0,2,0,0,0,3
583.315079536853,29.556747899419605,132,325.68919215875144,29688.0,2,0,0,0,3
2284.1456378837597,27.7795664979616,252,1124.3007195115854,22853.0,4,0,0,0,2
576.1548701168571,23.51414268936816,125,122.4136596137622,48800.0,4,0,0,0,2
437.5462724210832,24.41541511556524,93,130.42712442802986,27952.0,3,0,0,0,2
1390.166468667752,24.5540186275662,245,694.9130115769588,26560.0,3,0,0,0,2
3814.05819493064,28.05954417935328,597,3448.465630022173,22317.0,3,0,0,0,3
1401.8725364799564,25.349701323030093,571,1294.6934245096734,20274.0,2,0,0,0,3
